Step 12.0 timing breakdown: {'connect_bs': 6.699562072753906e-05, 'update_connections': 0.0012400150299072266, 'generate_jobs': 0.013319015502929688, 'action_transformation': 4.76837158203125e-06, 'apply_actions': 5.626678466796875e-05, 'update_datarates': 0.003876209259033203, 'macro_datarates': 3.266334533691406e-05, 'data_transfer': 0.01462101936340332, 'data_processing': 0.007767915725708008, 'check_delays': 0.0014009475708007812, 'compute_utilities': 0.0001583099365234375, 'compute_rewards': 0.004453897476196289, 'update_movements': 5.984306335449219e-05, 'update_active': 6.9141387939453125e-06, 'compute_observation': 0.00014090538024902344, 'total': 0.0473322868347168}
Step 13.0 timing breakdown: {'connect_bs': 7.224082946777344e-05, 'update_connections': 0.0010442733764648438, 'generate_jobs': 0.01309823989868164, 'action_transformation': 5.0067901611328125e-06, 'apply_actions': 5.602836608886719e-05, 'update_datarates': 0.003947019577026367, 'macro_datarates': 3.4809112548828125e-05, 'data_transfer': 0.013520002365112305, 'data_processing': 0.005761861801147461, 'check_delays': 0.0015568733215332031, 'compute_utilities': 0.0001609325408935547, 'compute_rewards': 0.003634929656982422, 'update_movements': 6.318092346191406e-05, 'update_active': 8.106231689453125e-06, 'compute_observation': 0.00014495849609375, 'total': 0.04323720932006836}
Step 14.0 timing breakdown: {'connect_bs': 6.508827209472656e-05, 'update_connections': 0.0013768672943115234, 'generate_jobs': 0.012209177017211914, 'action_transformation': 4.76837158203125e-06, 'apply_actions': 5.507469177246094e-05, 'update_datarates': 0.0039789676666259766, 'macro_datarates': 3.504753112792969e-05, 'data_transfer': 0.013895988464355469, 'data_processing': 0.005450010299682617, 'check_delays': 0.0017921924591064453, 'compute_utilities': 0.00015687942504882812, 'compute_rewards': 0.0024361610412597656, 'update_movements': 6.29425048828125e-05, 'update_active': 7.867813110351562e-06, 'compute_observation': 0.00014591217041015625, 'total': 0.04179573059082031}
Step 15.0 timing breakdown: {'connect_bs': 6.794929504394531e-05, 'update_connections': 0.001119852066040039, 'generate_jobs': 0.012451171875, 'action_transformation': 8.106231689453125e-06, 'apply_actions': 5.698204040527344e-05, 'update_datarates': 0.0039010047912597656, 'macro_datarates': 3.695487976074219e-05, 'data_transfer': 0.013602018356323242, 'data_processing': 0.007928133010864258, 'check_delays': 0.0014390945434570312, 'compute_utilities': 0.0001552104949951172, 'compute_rewards': 0.0036039352416992188, 'update_movements': 6.079673767089844e-05, 'update_active': 7.867813110351562e-06, 'compute_observation': 0.00014090538024902344, 'total': 0.044706106185913086}
Step 16.0 timing breakdown: {'connect_bs': 6.890296936035156e-05, 'update_connections': 0.0010600090026855469, 'generate_jobs': 0.013017892837524414, 'action_transformation': 4.0531158447265625e-06, 'apply_actions': 5.698204040527344e-05, 'update_datarates': 0.0037970542907714844, 'macro_datarates': 3.504753112792969e-05, 'data_transfer': 0.01358795166015625, 'data_processing': 0.0068836212158203125, 'check_delays': 0.0015039443969726562, 'compute_utilities': 0.0001609325408935547, 'compute_rewards': 0.003656148910522461, 'update_movements': 6.29425048828125e-05, 'update_active': 8.106231689453125e-06, 'compute_observation': 0.00014710426330566406, 'total': 0.04418182373046875}
Step 17.0 timing breakdown: {'connect_bs': 7.176399230957031e-05, 'update_connections': 0.0013430118560791016, 'generate_jobs': 0.012946128845214844, 'action_transformation': 3.814697265625e-06, 'apply_actions': 5.7220458984375e-05, 'update_datarates': 0.003954172134399414, 'macro_datarates': 3.2901763916015625e-05, 'data_transfer': 0.014117240905761719, 'data_processing': 0.008033990859985352, 'check_delays': 0.0013489723205566406, 'compute_utilities': 0.00016498565673828125, 'compute_rewards': 0.004291057586669922, 'update_movements': 6.008148193359375e-05, 'update_active': 6.9141387939453125e-06, 'compute_observation': 0.0001430511474609375, 'total': 0.046704769134521484}
Step 18.0 timing breakdown: {'connect_bs': 6.794929504394531e-05, 'update_connections': 0.0012631416320800781, 'generate_jobs': 0.013567924499511719, 'action_transformation': 3.814697265625e-06, 'apply_actions': 6.198883056640625e-05, 'update_datarates': 0.004006147384643555, 'macro_datarates': 4.00543212890625e-05, 'data_transfer': 0.014446735382080078, 'data_processing': 0.008900165557861328, 'check_delays': 0.0014600753784179688, 'compute_utilities': 0.0001609325408935547, 'compute_rewards': 0.003782987594604492, 'update_movements': 6.699562072753906e-05, 'update_active': 9.298324584960938e-06, 'compute_observation': 0.00015091896057128906, 'total': 0.04812192916870117}
Step 19.0 timing breakdown: {'connect_bs': 7.82012939453125e-05, 'update_connections': 0.0008690357208251953, 'generate_jobs': 0.013659954071044922, 'action_transformation': 5.9604644775390625e-06, 'apply_actions': 6.508827209472656e-05, 'update_datarates': 0.003968000411987305, 'macro_datarates': 3.910064697265625e-05, 'data_transfer': 0.01365804672241211, 'data_processing': 0.007557868957519531, 'check_delays': 0.0013570785522460938, 'compute_utilities': 0.00015783309936523438, 'compute_rewards': 0.003648042678833008, 'update_movements': 5.984306335449219e-05, 'update_active': 8.106231689453125e-06, 'compute_observation': 0.00014281272888183594, 'total': 0.04540109634399414}
Step 20.0 timing breakdown: {'connect_bs': 7.009506225585938e-05, 'update_connections': 0.0011761188507080078, 'generate_jobs': 0.012639999389648438, 'action_transformation': 3.814697265625e-06, 'apply_actions': 5.1975250244140625e-05, 'update_datarates': 0.0038521289825439453, 'macro_datarates': 3.3855438232421875e-05, 'data_transfer': 0.013522148132324219, 'data_processing': 0.0056917667388916016, 'check_delays': 0.0014209747314453125, 'compute_utilities': 0.00015401840209960938, 'compute_rewards': 0.0036389827728271484, 'update_movements': 6.079673767089844e-05, 'update_active': 7.152557373046875e-06, 'compute_observation': 0.0001399517059326172, 'total': 0.04258608818054199}
Step 21.0 timing breakdown: {'connect_bs': 7.009506225585938e-05, 'update_connections': 0.0013110637664794922, 'generate_jobs': 0.013616800308227539, 'action_transformation': 4.291534423828125e-06, 'apply_actions': 5.459785461425781e-05, 'update_datarates': 0.003857135772705078, 'macro_datarates': 3.600120544433594e-05, 'data_transfer': 0.01464700698852539, 'data_processing': 0.006849050521850586, 'check_delays': 0.0015180110931396484, 'compute_utilities': 0.00015425682067871094, 'compute_rewards': 0.00441288948059082, 'update_movements': 6.079673767089844e-05, 'update_active': 7.867813110351562e-06, 'compute_observation': 0.0001399517059326172, 'total': 0.04686093330383301}
Step 22.0 timing breakdown: {'connect_bs': 6.914138793945312e-05, 'update_connections': 0.001058816909790039, 'generate_jobs': 0.013785123825073242, 'action_transformation': 4.0531158447265625e-06, 'apply_actions': 5.888938903808594e-05, 'update_datarates': 0.0038928985595703125, 'macro_datarates': 3.2901763916015625e-05, 'data_transfer': 0.014144659042358398, 'data_processing': 0.00921320915222168, 'check_delays': 0.0013277530670166016, 'compute_utilities': 0.00015997886657714844, 'compute_rewards': 0.005054950714111328, 'update_movements': 5.984306335449219e-05, 'update_active': 6.9141387939453125e-06, 'compute_observation': 0.00013780593872070312, 'total': 0.04912877082824707}
Step 23.0 timing breakdown: {'connect_bs': 6.914138793945312e-05, 'update_connections': 0.0011646747589111328, 'generate_jobs': 0.013028144836425781, 'action_transformation': 5.245208740234375e-06, 'apply_actions': 5.7697296142578125e-05, 'update_datarates': 0.0038988590240478516, 'macro_datarates': 3.62396240234375e-05, 'data_transfer': 0.013777971267700195, 'data_processing': 0.007399082183837891, 'check_delays': 0.0015048980712890625, 'compute_utilities': 0.00016021728515625, 'compute_rewards': 0.003657817840576172, 'update_movements': 6.198883056640625e-05, 'update_active': 1.0967254638671875e-05, 'compute_observation': 0.00015401840209960938, 'total': 0.04511523246765137}
Step 24.0 timing breakdown: {'connect_bs': 8.797645568847656e-05, 'update_connections': 0.0009019374847412109, 'generate_jobs': 0.015419244766235352, 'action_transformation': 5.0067901611328125e-06, 'apply_actions': 6.29425048828125e-05, 'update_datarates': 0.003957986831665039, 'macro_datarates': 3.600120544433594e-05, 'data_transfer': 0.014178991317749023, 'data_processing': 0.007455110549926758, 'check_delays': 0.0015728473663330078, 'compute_utilities': 0.00015783309936523438, 'compute_rewards': 0.0037779808044433594, 'update_movements': 7.200241088867188e-05, 'update_active': 8.106231689453125e-06, 'compute_observation': 0.00016307830810546875, 'total': 0.04798722267150879}
Step 25.0 timing breakdown: {'connect_bs': 6.794929504394531e-05, 'update_connections': 0.0012211799621582031, 'generate_jobs': 0.013206005096435547, 'action_transformation': 7.152557373046875e-06, 'apply_actions': 9.393692016601562e-05, 'update_datarates': 0.0038831233978271484, 'macro_datarates': 3.409385681152344e-05, 'data_transfer': 0.013741016387939453, 'data_processing': 0.006559848785400391, 'check_delays': 0.002244710922241211, 'compute_utilities': 0.00015687942504882812, 'compute_rewards': 0.0038962364196777344, 'update_movements': 6.413459777832031e-05, 'update_active': 7.152557373046875e-06, 'compute_observation': 0.00014400482177734375, 'total': 0.04545903205871582}
Step 26.0 timing breakdown: {'connect_bs': 7.200241088867188e-05, 'update_connections': 0.0014002323150634766, 'generate_jobs': 0.013263702392578125, 'action_transformation': 6.198883056640625e-06, 'apply_actions': 5.793571472167969e-05, 'update_datarates': 0.0038688182830810547, 'macro_datarates': 3.600120544433594e-05, 'data_transfer': 0.014273881912231445, 'data_processing': 0.007439136505126953, 'check_delays': 0.0014889240264892578, 'compute_utilities': 0.00015783309936523438, 'compute_rewards': 0.003690004348754883, 'update_movements': 6.413459777832031e-05, 'update_active': 7.152557373046875e-06, 'compute_observation': 0.00015425682067871094, 'total': 0.046113014221191406}
